0xFFE00004|DMEM_CONTROL|L1 Data Memory Control Register|2-6
0xFFE00300|DTEST_COMMAND|Data Test Command Register|2-7
0xFFE03000|TCNTL|Core Timer Control Register|11-5
0xFFE03004|TPERIOD|Core Timer Period Register|11-6
0xFFE03008|TSCALE|Core Timer Scale Register|11-7
0xFFE0300C|TCOUNT|Core Timer Count Register|11-6
0xFFC00104|SYSCR|System Reset Configuration (SYSCR) Register|26-76
0xFFC0010C|SIC_IMASK0|System Interrupt Mask (SIC_IMASK) Register|5-12
0xFFC0014C|SIC_IMASK1|System Interrupt Mask (SIC_IMASK) Register|5-12
0xFFC00110|SIC_IAR0|System Interrupt Assignment (SIC_IAR) Register|5-11
0xFFC00114|SIC_IAR1|System Interrupt Assignment (SIC_IAR) Register|5-11
0xFFC00118|SIC_IAR2|System Interrupt Assignment (SIC_IAR) Register|5-11
0xFFC0011C|SIC_IAR3|System Interrupt Assignment (SIC_IAR) Register|5-11
0xFFC00150|SIC_IAR4|System Interrupt Assignment (SIC_IAR) Register|5-11
0xFFC00154|SIC_IAR5|System Interrupt Assignment (SIC_IAR) Register|5-11
0xFFC00158|SIC_IAR6|System Interrupt Assignment (SIC_IAR) Register|5-11
0xFFC0015C|SIC_IAR7|System Interrupt Assignment (SIC_IAR) Register|5-11
0xFFC00120|SIC_ISR0|System Interrupt Status (SIC_ISR) Register|5-12
0xFFC00160|SIC_ISR1|System Interrupt Status (SIC_ISR) Register|5-12
0xFFC00124|SIC_IWR0|System Interrupt Wakeup-Enable (SIC_IWR) Register|5-12
0xFFC00164|SIC_IWR1|System Interrupt Wakeup-Enable (SIC_IWR) Register|5-12
0xFFC00B0C|DMA_TC_PER|DMA Traffic Control Counter Period Register|6-89
0xFFC00B10|DMA_TC_CNT|DMA Traffic Control Counter Register|6-89
0xFFC03300|HMDMA0_CONTROL|Handshake MDMA Control Registers|6-83
0xFFC03304|HMDMA0_ECINIT|Handshake MDMA Initial Edge Count Registers|6-87
0xFFC03308|HMDMA0_BCINIT|Handshake MDMA Initial Block Count Registers|6-84
0xFFC0330C|HMDMA0_ECURGENT|Handshake MDMA Edge Count Urgent Registers|6-87
0xFFC03310|HMDMA0_ECOVERFLOW|Handshake MDMA Edge Count Overflow Interrupt Registers|6-88
0xFFC03314|HMDMA0_ECOUNT|Handshake MDMA Initial Edge Count Registers|6-87
0xFFC03318|HMDMA0_BCOUNT|Handshake MDMA Current Block Count Registers|6-85
0xFFC03340|HMDMA1_CONTROL|Handshake MDMA Control Registers|6-83
0xFFC03344|HMDMA1_ECINIT|Handshake MDMA Initial Edge Count Registers|6-87
0xFFC03348|HMDMA1_BCINIT|Handshake MDMA Initial Block Count Registers|6-84
0xFFC0334C|HMDMA1_ECURGENT|Handshake MDMA Edge Count Urgent Registers|6-87
0xFFC03350|HMDMA1_ECOVERFLOW|Handshake MDMA Edge Count Overflow Interrupt Registers|6-88
0xFFC03354|HMDMA1_ECOUNT|Handshake MDMA Initial Edge Count Registers|6-87
0xFFC03358|HMDMA1_BCOUNT|Handshake MDMA Current Block Count Registers|6-85
0xFFC00A00|EBIU_AMGCTL|Asynchronous Memory Global Control Register|7-20
0xFFC00A04|EBIU_AMBCTL0|Asynchronous Memory Bank Control 0 Register|7-21
0xFFC00A08|EBIU_AMBCTL1|Asynchronous Memory Bank Control 1 Register|7-22
0xFFC00A10|EBIU_SDGCTL|SDRAM Memory Global Control Register|7-67
0xFFC00A14|EBIU_SDBCTL|SDRAM Memory Bank Control Register|7-63
0xFFC00A18|EBIU_SDRRC|SDRAM Refresh Rate Control Register|7-60
0xFFC00A1C|EBIU_SDSTAT|SDRAM Control Status Register|7-76
0xFFC00700|PORTFIO|GPIO Data Registers|9-34
0xFFC00704|PORTFIO_CLEAR|GPIO Clear Registers|9-35
0xFFC00708|PORTFIO_SET|GPIO Set Registers|9-34
0xFFC0070C|PORTFIO_TOGGLE|GPIO Toggle Registers|9-35
0xFFC00710|PORTFIO_MASKA|GPIO Mask Interrupt A Registers|9-37
0xFFC00714|PORTFIO_MASKA_CLEAR|GPIO Mask Interrupt A Clear Registers|9-41
0xFFC00718|PORTFIO_MASKA_SET|GPIO Mask Interrupt A Set Registers|9-39
0xFFC0071C|PORTFIO_MASKA_TOGGLE|GPIO Mask Interrupt A Toggle Registers|9-43
0xFFC00720|PORTFIO_MASKB|GPIO Mask Interrupt B Registers|9-38
0xFFC00724|PORTFIO_MASKB_CLEAR|GPIO Mask Interrupt B Clear Registers|9-42
0xFFC00728|PORTFIO_MASKB_SET|GPIO Mask Interrupt B Set Registers|9-40
0xFFC0072C|PORTFIO_MASKB_TOGGLE|GPIO Mask Interrupt B Toggle Registers|9-44
0xFFC00730|PORTFIO_DIR|GPIO Direction Registers|9-33
0xFFC00734|PORTFIO_POLAR|GPIO Polarity Registers|9-36
0xFFC00738|PORTFIO_EDGE|Interrupt Sensitivity Registers|9-36
